Topic,Count,Name,Representation,Representative_Docs
-1,113,-1_aplikasi_di_saya_shopee,"['aplikasi', 'di', 'saya', 'shopee', 'ini', 'indonesia', 'terbaik', 'online', 'yang', 'jangan']","['online mall terbaik aqohhh sementara ini buat yang komentar aplikasi lemot bikin hp lemotheyyy hellow di update makanya aplikasinya tiap tanggal kembar pay day itu pasti ada update ada promo baru voucher baru aplikasi itu gak cuman staytapi di updatesesimpel itu trus hp gadget kalian juga di updatecek sistem update di pengaturan hp kalian jangan nyalahin aplikasi kalo hp kalian lemot cek update berkala atau nyalakan otomatis update di jaringan apapun', 'saran saya untuk masyarakat indonesia mending jangan download shope atau pakai shope bagi penjual maupun pembeli cs nya nggk bisa nyari solusi ketika akun terdapat kendala masalah pada apk  kalian punya otak yang pintar pakai tokopedia tiktokshop saja beli sesuatu tidak ribet jadi penjual pun tidak sulit kayak aplikasi shopee ini saya benar benar kecewa saya meluapkan amarah saya hanya melalui comentar di apk ini agar masyarakat indonesia pada tau buruknya apk shope ini', 'mohon maaf sebelumnya aplikasi shopee indonesia ini sebenarnya sudah cukup bagus karena menyediakan spaylater dan spinjaman karena sangat membantu untuk transaksi saya dalam hal transaksi pembayaran online tapi saya sangat kecewa dengan aplikasi spaylater ini karena saya sudah bayar tagihan tapi tidak bisa menggunakan fitur ini lagi mohon pihak shopee lebih memperhatikan peraturan yang ada jangan sampai pelanggan atau pengguna aplikasi ini kecewa saya sudah lama menggunakan aplikasi ini']"
0,163,0_shopee_belanja_dan_mudah,"['shopee', 'belanja', 'dan', 'mudah', 'harga', 'banyak', 'sangat', 'yg', 'biaya', 'murah']","['puas belanja di shopee', 'shopee belanja lebih mudah', 'sangat membantu belanja di shopee']"
1,159,1_di_pengiriman_tidak_saya,"['di', 'pengiriman', 'tidak', 'saya', 'kurir', 'paket', 'udah', 'ke', 'nya', 'hari']","['untuk shopeenya udah bagus menurutku tapi untuk pengiriman spx amat sangat mengecewakan jauh dari kata professional order barang udah beberapa kali notif pembeli tidak dapat dihubungitidak ada ditempat padahal wa aja nggak saya dirumah terus nunggu tuh paket harusnya diseleksi lagi kurir yg males nganter seperti ini dulu pengantaran pake selain spx selalu sampai  tepat waktu malah sebelum estimasi udah sampe setelah pake spx ini bisa telat beberapa hari amat sangat mengecewakan', 'tolong ya buat shopee uang saya belum juga di kembalikan dalam proses terus katanya nunggu x  jam tapi ini udah melebihi estimasi nya cs nya bilang tinggal di tunggu aja gak ada keterangan lain di tanyain lagi ke cs yang lain suruh ngisi form nya kenapa gak dari kemarin coba suruh ngisi nya kalo gini saya jadi nunggu lebih lama lagi', 'sangat buruk untuk apk shopee sekarang saya pesan paket sudah  hari tidak sampai toko dari tanggerang tujuan paket ke lampung padahal di estimasi cuma  hari dalam proses pengantaran saja sudah x gagal untuk hari ini yg ke x pengantaran gk tau sampai atau tidak hari ini kejadian seperti ini bukan hanya sekali tapi sudah sering masih mending di apk totok karna lebih profesional']"
2,72,2_iklan_aplikasi_di_video,"['iklan', 'aplikasi', 'di', 'video', 'ganggu', 'saya', 'lain', 'buka', 'yang', 'ini']","['iklan lu tuh ganggu anjing udah syukur gw download gw simpen di hp gw tapi tiap iklan lu muncul gw langsung di arahin ke apk lu mana berulang lagi gw hapus gw pengin tenang gak di ganggu iklan lu cuih', 'tiap buka shopee langsung masuk shopee live ini sangat ganggu banget sih bayangin aja kita buka di tempat rame atau ingin buka secara diam² saja ee malah kedengeran suara shopee live sumpah ganggu seharusnya berikan keleluasan pada pengguna apakah ingin cari produk lewat shopee live atau scroll  pencarian di apk secara mandiri jujur saya lebih nyamandengan scroll atau lewat search product apa yang saya inginkan', 'saya senang dan juga sering belanja di shopee tetapi ada satu hal yang bikin saya kesal banget sama shopee yaitu iklannya itu mengganggu konten yang ingin saya lihat seperti saat saya hendak memencet link di google tiba tiba saja masuk ke aplikasi shopee nya dan juga susah untuk keluar dan itu sangat sangat mengganggu saya tolong lah developer nya di kondisi kan itu aplikasi  terimakasih nanti saya kasih bintang  deh klo udah di perbaiki']"
3,54,3_ga_lama_sampe_di,"['ga', 'lama', 'sampe', 'di', 'krn', 'nya', 'bisa', 'udh', 'jelek', 'banget']","['bagus si sbnrnya cmn skrg suka kesel grgr shopee foodnya lama bgt nyari drivernya lama pernah sampe sejam aku lupa batalin sampe dapet driver jam lebih kadang jg suka eror pesen makan resto jarak km malah keubah km suka bingung pokonya mines di driver doang lama bgt tolong itu knp bisa lama', 'bisa cicing teu si sia shopee aing teh ker maca wp teu mncet nanaon tiba² langsung sa shopee jir ganggu nygo teu sih sia teh cicing ngajedog waktuna di buak jng cekout nh ke gh di cekout ulh ker maca wp tiba² beralih ka shopee pan ganggunv jingan sajam cuma bulak blik wp jng shopee doang ganggunf ajj ngajedog bisa kan bngke bngt', 'ga usah sok manis krn aslinya ibls klen buat aturan makin mencekek pemgembalian produk pot  iklan rbprodukhr bahkan skrg lbh klen cekek hny krn dilihat isi habis rb utk  iklam ga sampe mnt habismau keln iklan jt sehr brp pastikan omsetklen pikir semua pemain besar ecom jhnam bkn krn klik lg bkn diringankan krn ada yg belibukan dukung umkn tp di bnh berlahanaku sumpahin klen yg buat aturan kelak kelen akan susah sulit kehidupan lalu dicekek lg zolim tdk ada nurani']"
4,51,4_aplikasi_bagus_belanja_sangat,"['aplikasi', 'bagus', 'belanja', 'sangat', 'membantu', 'yang', 'dan', 'shopee', 'untuk', 'ini']","['aplikasi yang sangat membantu', 'aplikasi bagus', 'aplikasi shopee sangat bagus']"
5,38,5_mantap_keluar_bgusssss_lee,"['mantap', 'keluar', 'bgusssss', 'lee', 'iku', 'lanjutkan', 'sippp', 'malaikat', 'aktivitas', 'lanjut']","['mantap', 'mantap', 'mantap']"
6,37,6_bagus_sangat_bermanfaat_baik,"['bagus', 'sangat', 'bermanfaat', 'baik', 'biasa', 'berguna', 'luar', 'sekali', 'banget', 'muantaaap']","['sangat bagus', 'sangat bagus', 'sangat bagus']"
7,33,7_bgus_nan_mb_bgt,"['bgus', 'nan', 'mb', 'bgt', 'lemot', 'baguus', 'hapesaya', 'kren', 'bgtturunin', 'dx']","['bgus', 'bgus', 'skrg mb ny nambah besar yadi hapesaya lemot bgt skrol pilihlemot bgtturunin lg mb y biar ga lemot']"
8,28,8_ok_oke_okey_wort,"['ok', 'oke', 'okey', 'wort', 'okeh', 'lanjutt', 'bgt', 'mantul', 'it', 'bngt']","['ok', 'ok', 'ok']"
