userName,score,at,content
damar tirta,1,2026-05-10 09:52:18,aplikasinya ribet!!!. masa mengatur email error terus tulisannya. diperbaiki dong bug nya.
Aris Munandar,5,2026-05-10 09:51:17,ok
Friza,1,2026-05-10 09:51:14,apk ribet gjls tll
Hendra Enda,1,2026-05-10 09:50:51,sangat bermempaat
Sulyati Sastrowardoyo,5,2026-05-10 09:49:26,pengalaman ber blanja di onlaen.sangat membantu konsumen dan harga banyak yg terjangkau kaum standar 🙏🏻👍
Fauzy Nailul,5,2026-05-10 09:49:22,mantap
Nani_ Norliani,1,2026-05-10 09:46:06,BURUK
Almira,1,2026-05-10 09:43:13,shopee bikin kecewa pesan dari jaman kapan kaga Dateng dan kurir y pada songong ap lagi atas nama bang bang itu kurir kurang ajar ngomong y ga sopan
Inf Nix,5,2026-05-10 09:42:50,gacor dah pokoknya
Abi Manyu,4,2026-05-10 09:42:11,akunnya ke logout sendiri woyy balikin
lilis junarti,5,2026-05-10 09:37:29,menyenangkan
Guan Baraqbah,1,2026-05-10 09:35:51,"SANGAT TIDAK MANUSIAWI BUAT DI JADIIN LAPAK SELLER YG KECIL. Biaya layanan, administrasi, biaya pesanan, cuma jual barang harga 225rb aja cuma bisa keterima 181rb. PARAH BANGETT."
Ida Fariati,5,2026-05-10 09:35:07,bagus banget recomended
Cowboy Wrangler,5,2026-05-10 09:31:26,Oke sangat memudahkan dalam belanja.
Hulta Wati,5,2026-05-10 09:29:43,"aplikasi jasa jual yang sangat bagus, amanah dan terpercaya"
Ssasafu,1,2026-05-10 09:29:08,Aplikasinya makin gajelas. Promo blm digunakan sama sekali tdk bisa . Dikira kita download aplikasi ini buat mempermudah malah mempersulit!!!!!Uninstall aja ni aplikasi 😡
Jusman Mas'ing,5,2026-05-10 09:27:55,Shopee Mantap
Helliyatul Aulia,5,2026-05-10 09:25:25,sangat cocok untuk aplikasi Shopi
hafiza,5,2026-05-10 09:24:58,bagus
saki assa,5,2026-05-10 09:20:15,lancar ....aman
Karmel Tampubolon,1,2026-05-10 09:19:18,tidak ada solusi paket yg dikembalikan secara sepihak tampa sepengetahuan saya
Lana frt,5,2026-05-10 09:18:54,keren
Muhammad Thaher,5,2026-05-10 09:17:35,pilihan belanja yg baik dan simple.
Zidan DANZZ,5,2026-05-10 09:16:57,saya memilih shopee karena sangat terjamin
Candra Wijaya,5,2026-05-10 09:13:34,bagus sekali
Erich Pratama,5,2026-05-10 09:09:52,saran lebih baik untuk expedisi JNE YES di hilangkan karena terlalu banyak masalah lewat estimasi dan merugikan konsumen akhirnya
Mikha Dh,5,2026-05-10 09:09:42,useable
Surani Maniki,5,2026-05-10 09:09:38,Alifa
B Siahaan,2,2026-05-10 09:08:06,Dulu aplikasi ini sangat saya favoritkan. Seiring waktu sering update yg tidak jelas apa yg di update akhirnya aplikasinya semakin berat dan lemot. menguras batre. Terakhir menjadi aplikasi yg yg saya benci...
Op al,5,2026-05-10 09:05:52,nih aplikasi Napa sih anj ada iklan mulu di manapun mau di web apa ada mulu udah gitu tanda x nya boong setan
Aliya Fazila,5,2026-05-10 09:04:34,"bagus, tp tolong iklanny muncul dimna² gjls bgtt segituny mau ngepromoin lgi nnton film ga ada pencet apa apa iklanny muncul tolonglah 🙂"
シsafira_firaaa,2,2026-05-10 09:03:05,"saldo pay ku berkurang alias ga ada riwayatnya juga ga ada, sartu lagi itu alamat pengiriman udah ku ganti. malah balik lagi pa maksutnya"
Dalton 1987,5,2026-05-10 09:02:27,sangat puas
Jadoel Sigit,5,2026-05-10 09:01:27,"belanja disini bikin males,,,,,,, males berhenti scroll buat liat barang yang lain☺ .... banyak discount dan promonya, harga relatif lebih murah, pengiriman lancar, kang kurir nya juga baik. semoga Shopee tetap jadi yang terbaik 👍💯"
Ihah Muflihah,5,2026-05-10 09:00:45,Barang nya ok..sudah saya gunakan.
Raider Kamen,1,2026-05-10 09:00:05,"wah parah sih manipulasi data keuangannya kelihatan banget merugikan banyak mitranya mulai dari seller sampai affiliator terdampak parah,kebijakannya berbau korupsi !"
Ara Lara,2,2026-05-10 08:59:49,"pengiriman nya lambat sangat lambat, paket saya sering hilang, datang paket tidak sesuai tanggal l"
Bocah Dayak,5,2026-05-10 08:59:14,"sudah sangat lengkap dan mudah berbelanja disini opsi pengiriman instan juga mantap, bagus banget"
kakzin channel,5,2026-05-10 08:57:44,cepat proses nya
yudha adhstira,5,2026-05-10 08:56:36,sangat membantu belanja di shopee👍👍👍
Teguh Ambar setiawan,5,2026-05-10 08:55:31,besttt pokoknya aplikasi shopee selalu puas belanja di shopee mantapp thx shopee
Ari Senjaya,1,2026-05-10 08:54:13,parah shopee sekarang karang ini.barang yang saya pesan udah di gudang wilayah(ciracas jakarta timur)dan status akhir dalam pengantaran kurir ke alamat tujuan sampai dua kali.dan balik ke gudang lagi.saya nunggu sampai dua hari di rumah.dan hasilnya kecewa berat.chat ke castomer servis juga percuma hasilnya.mau ngambil ke gudang kaga bisa ke ambil.mendigan bubar aja shopee kalau begini
Rizki Kisaran,1,2026-05-10 08:51:20,"bisa gak sih iklan nya jangan shope terus di aplikasi lain, itu pun gak ada kepencet tiba tiba masuk ke aplikasi shope jadi risih jadinya"
Andhika Tri pamungkas,1,2026-05-10 08:51:19,aplikasi nya keren banget serba murah
Nanda Safriani,5,2026-05-10 08:49:49,Google bgt
deevv,1,2026-05-10 08:45:09,error
Luki Tanti,5,2026-05-10 08:42:53,cukup baik
Always,3,2026-05-10 08:42:30,tolong segera di tindak lanjuti pengiriman ke Lampung itu lama nya minta ampun nanti giliran paket udah Dateng uang nya udah kepake masa mau gini terus sampe satu Minggu belum nyampe nyampe
Zul-86,5,2026-05-10 08:41:57,Berharap spaylater sm spinjam bisa di aktifkan kembali..🙏
Muhibbah 1209,5,2026-05-10 08:40:49,"udah puluhan tahun menggunakan shopee,pembayaran,pengembalian semuanya aman,barang tidak sesuai tinggal kembalikan dana,dan shopee selalu membantu prosesnya ratusan barang udah dibeli sesuai kebutuhan."
archianajaem,5,2026-05-10 08:38:22,"pakai aplikasi ini semuanya terjangkau, banyak diskon/voucher, harga bisa berkurang jika Anda mengumpulkan koin dan pakai koin tsb, best deh pokoknya"
MeiReza Maulana,1,2026-05-10 08:38:20,knp dah setiap mau bayar pake voucher lama bgt loadingnya padahal jaringan bagus jg😤
Keny Oktaviani,5,2026-05-10 08:37:54,bagusssssssss
Hendi Tresnawan,4,2026-05-10 08:30:12,"sebenarnya sih sudah bagus tapi kekurangan nya gabisa cod min, alasannya ""alamat anda tidak mendukung cod"""
glittany glittany,5,2026-05-10 08:27:20,suka sekali Belanja Disinii!!!
Muhammad Mifta,1,2026-05-10 08:22:00,"Update yg baru bkin rese nunggu view product nya,"
fadli Azaln,3,2026-05-10 08:20:19,saya jadi gak semangat belanja di sohpe semenjak pengiriman lama dan kurir tempat saya lama selalu tertunda Mulu jadi mals belanja di sohpe sekarang
Muhammad Muhammad,1,2026-05-10 08:19:19,paket gw lama kali datang nya ajg
siti samhah,5,2026-05-10 08:17:46,shopy terpercaya amanah mantap
abdur rohim,1,2026-05-10 08:14:30,"Ini sih GILA BANGET, hub dan pengiriman di shopee SUPER LAMA dibandingkan aplikasi lain. Makin ke sini paket sering ditahan2 padahal lokasi sudah dekat. Saya member PLATINUM hampir tiap hari order di shopee dan berdasarkan pemantauan saya ternyata pengiriman paket selalu dipaskan / digabung dengan paket paling terakhir saya. GILA KALIAN! tau gini saya order 1x aja di shopee biar pengirimannya gak ditunda2 kah? itu maunya? manajemen aneh mau efisiensi tapi merugikan pembeli!"
Yuliana Sekartaji,1,2026-05-10 08:13:05,"aneh beli tertulis haraga 81 ribu , trus di bawah total jd 91 ribu , eh pas sub total jd 108 ribu , semua itu di total dr mana kan tertulis harga 81 kok bisa ada tambahan lain2 , pdahal harus nya harga segitu , kalau di potong voucher 2 jd berkurang bnyk lho ada voucher 15 ribu dr toko , ada voucher dr diskon 25 ribu harus nya jd di bawah 81 ini malah jdi hampir 90 , males di Shopee skrng , bingung ngitung nya"
Yulia Yuli,5,2026-05-10 08:08:51,"shopy semakin kesini makin gak jelas,, barang sya sudah mau diantar ada aja kendalanya, dan akhirnya dikirim Lgi kembali ke toko,😮‍💨"
Afgan Ganteng,1,2026-05-10 08:08:14,"resah ini aplikasi,mengganggu dmna mana ada iklan"
Tin Kartini,5,2026-05-10 08:02:48,sangat membantu dan saya puas
Jefry Syahriel,5,2026-05-10 08:02:02,sangat membantu saya dapet spaylater mantab
Fatah Fikri,1,2026-05-10 07:59:11,"makin jelek shopee... dari segi pelayanan jgn ditanya jelek bgt... trs sekarang kenapa halaman notif diubah si dah bgs dipisah kanan kiri... kiri untuk pembeli kanan untuk toko eh sekarang dicampur mana ga bisa dihapus lagi notif nya jadi bertumpuk"""
Sky Hashira,1,2026-05-10 07:55:39,aplikasi ribet
Sri Mulia07,5,2026-05-10 07:52:55,shopee mantap pengiriman cepat
