content_cleaned,label
aplikasinya ribet masa mengatur email error terus tulisannya diperbaiki dong bug nya,0.0
ok,1.0
apk ribet gjls tll,0.0
sangat bermempaat,0.0
pengalaman ber blanja di onlaensangat membantu konsumen dan harga banyak yg terjangkau kaum standar,1.0
mantap,1.0
buruk,0.0
shopee bikin kecewa pesan dari jaman kapan kaga dateng dan kurir y pada songong ap lagi atas nama bang bang itu kurir kurang ajar ngomong y ga sopan,0.0
gacor dah pokoknya,1.0
akunnya ke logout sendiri woyy balikin,1.0
menyenangkan,1.0
sangat tidak manusiawi buat di jadiin lapak seller yg kecil biaya layanan administrasi biaya pesanan cuma jual barang harga rb aja cuma bisa keterima rb parah bangett,0.0
bagus banget recomended,1.0
oke sangat memudahkan dalam belanja,1.0
aplikasi jasa jual yang sangat bagus amanah dan terpercaya,1.0
aplikasinya makin gajelas promo blm digunakan sama sekali tdk bisa  dikira kita download aplikasi ini buat mempermudah malah mempersulituninstall aja ni aplikasi,0.0
shopee mantap,1.0
sangat cocok untuk aplikasi shopi,1.0
bagus,1.0
lancar aman,1.0
tidak ada solusi paket yg dikembalikan secara sepihak tampa sepengetahuan saya,0.0
keren,1.0
pilihan belanja yg baik dan simple,1.0
saya memilih shopee karena sangat terjamin,1.0
bagus sekali,1.0
saran lebih baik untuk expedisi jne yes di hilangkan karena terlalu banyak masalah lewat estimasi dan merugikan konsumen akhirnya,1.0
useable,1.0
alifa,1.0
dulu aplikasi ini sangat saya favoritkan seiring waktu sering update yg tidak jelas apa yg di update akhirnya aplikasinya semakin berat dan lemot menguras batre terakhir menjadi aplikasi yg yg saya benci,0.0
nih aplikasi napa sih anj ada iklan mulu di manapun mau di web apa ada mulu udah gitu tanda x nya boong setan,1.0
bagus tp tolong iklanny muncul dimna² gjls bgtt segituny mau ngepromoin lgi nnton film ga ada pencet apa apa iklanny muncul tolonglah,1.0
saldo pay ku berkurang alias ga ada riwayatnya juga ga ada sartu lagi itu alamat pengiriman udah ku ganti malah balik lagi pa maksutnya,0.0
sangat puas,1.0
belanja disini bikin males males berhenti scroll buat liat barang yang lain  banyak discount dan promonya harga relatif lebih murah pengiriman lancar kang kurir nya juga baik semoga shopee tetap jadi yang terbaik,1.0
barang nya oksudah saya gunakan,1.0
wah parah sih manipulasi data keuangannya kelihatan banget merugikan banyak mitranya mulai dari seller sampai affiliator terdampak parahkebijakannya berbau korupsi,0.0
pengiriman nya lambat sangat lambat paket saya sering hilang datang paket tidak sesuai tanggal l,0.0
sudah sangat lengkap dan mudah berbelanja disini opsi pengiriman instan juga mantap bagus banget,1.0
cepat proses nya,1.0
sangat membantu belanja di shopee,1.0
besttt pokoknya aplikasi shopee selalu puas belanja di shopee mantapp thx shopee,1.0
parah shopee sekarang karang inibarang yang saya pesan udah di gudang wilayahciracas jakarta timurdan status akhir dalam pengantaran kurir ke alamat tujuan sampai dua kalidan balik ke gudang lagisaya nunggu sampai dua hari di rumahdan hasilnya kecewa beratchat ke castomer servis juga percuma hasilnyamau ngambil ke gudang kaga bisa ke ambilmendigan bubar aja shopee kalau begini,0.0
bisa gak sih iklan nya jangan shope terus di aplikasi lain itu pun gak ada kepencet tiba tiba masuk ke aplikasi shope jadi risih jadinya,0.0
aplikasi nya keren banget serba murah,0.0
google bgt,1.0
error,0.0
cukup baik,1.0
berharap spaylater sm spinjam bisa di aktifkan kembali,1.0
