Topic,Negatif 😡,Positif 😊,Name
0,10,153,0_shopee_belanja_dan_mudah
1,117,42,1_di_pengiriman_tidak_saya
2,57,15,2_iklan_aplikasi_di_video
3,38,16,3_ga_lama_sampe_di
4,5,46,4_aplikasi_bagus_belanja_sangat
5,3,35,5_mantap_keluar_bgusssss_lee
6,1,36,6_bagus_sangat_bermanfaat_baik
7,4,29,7_bgus_nan_mb_bgt
8,0,28,8_ok_oke_okey_wort
9,0,25,9_cepat_tepat_fast_dan
10,0,25,10_bagus_luck_smoga_bagusterpercaya
11,0,22,11_keren_hu_goooddd_wow
12,1,19,12_membantu_sangat_keadaan_spaylater
13,0,20,13_bagus_⁰⁹_so_nice
14,0,20,14_terimakasih_harapan_atas_bagusssssssss
15,0,17,15_puas_memuaskan_selalu_penglman
16,0,15,16_puas_sangat_memuaskan_𝔰𝔞𝔫𝔤𝔞𝔱
17,0,14,17_baik_baikbaik_ok_lumayan
18,0,12,18_good_job_mantap_
19,6,5,19_cod_ga_limit_bisa
20,0,11,20_online_belanja_lengkap_memakaimenggunakan
